id	ledger_id	kind	url	title	version_note	retrieved	digest	note
S0015	exceptional-conditions/05	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-CRYP-02 'Testing for Padding Oracle'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0016	exceptional-conditions/05	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0017	exceptional-conditions/06	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Error-Based SQLi 2852c37daa29804787b9c0c8eb83d94d.md	Error-Based SQLi 2852c37daa29804787b9c0c8eb83d94d.md		2026-08-28	sha256:f0957c66fd0a5e6ed6b0036a400190c266c303c7f4c8c2d196ea588c8c3baab7	
S0018	exceptional-conditions/06	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-ERRH-02 'Testing for Stack Traces'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0019	exceptional-conditions/06	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0020	exceptional-conditions/07	external	https://github.com/vladko312/Research_Successful_Errors/blob/main/README.md	Research_Successful_Errors -- error-based technology identification (Vladislav Korchagin)	report v1.1, 2026-02-22	2026-08-28	sha256:acd7c94a05d9e8212d377d6a6b0bf8dea743b5486a46508387690abe340d9c1b	
S0021	exceptional-conditions/07	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-ERRH-01 'Testing for Improper Error Handling'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0022	exceptional-conditions/07	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0023	exceptional-conditions/08	external	https://portswigger.net/web-security/authentication/password-based	PortSwigger Web Security Academy -- Vulnerabilities in password-based login (account lock as an oracle)	undated Academy page; mined 2026-08-28	2026-08-28	sha256:9304a8fd729450acb06511c1987bce7722aeca53712b1f113cbf00a11bdf78f0	
S0024	exceptional-conditions/09	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/Race Conditions & Timing Attacks/User Enumeration via Response Timing 1c82c37daa298056ab33ea3d10a7bced.md	User Enumeration via Response Timing 1c82c37daa298056ab33ea3d10a7bced.md		2026-08-28	sha256:cf5c006d9b74be2150fcec1a95e640d8768967c59b74fe5ee22019ed60c450e3	
S0025	exceptional-conditions/09	external	https://portswigger.net/web-security/authentication/password-based	PortSwigger Web Security Academy -- Vulnerabilities in password-based login (timing signal)	undated Academy page; mined 2026-08-28	2026-08-28	sha256:9304a8fd729450acb06511c1987bce7722aeca53712b1f113cbf00a11bdf78f0	
S0026	exceptional-conditions/09	external	https://portswigger.net/research/listen-to-the-whispers-web-timing-attacks-that-actually-work	Listen to the whispers: web timing attacks that actually work -- James Kettle, PortSwigger	2024-08-07	2026-08-28	sha256:750cb9ff5c8ead5e7e5488be931367a96f166472ad1139d24620a02c562b1b78	
S0027	race-conditions/01	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/Race Conditions & Timing Attacks/Race Conditions 1c92c37daa29804e8913f4c6836ac991.md	Race Conditions 1c92c37daa29804e8913f4c6836ac991.md		2026-08-28	sha256:697c4746a2c6e08230ab2cede94ea2db1d98ae8e3d1a9bff60e0368c889925f5	
S0028	race-conditions/01	external	https://raw.githubusercontent.com/HackTricks-wiki/hacktricks/master/src/pentesting-web/race-condition.md	HackTricks -- Race Condition (citing PortSwigger, 'Smashing the state machine')	HackTricks master branch, fetched 2026-08-28 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:fe693c6265d0d0959f34dd7e5be5cab91619a7f368e7a9b4ea017ac0e6d064b2	
S0029	race-conditions/01	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-BUSL-05 'Test Number of Times a Function Can Be Used Limits'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0030	race-conditions/01	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0031	race-conditions/02	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/Race Conditions & Timing Attacks/Race Conditions 1c92c37daa29804e8913f4c6836ac991.md	Race Conditions 1c92c37daa29804e8913f4c6836ac991.md		2026-08-28	sha256:697c4746a2c6e08230ab2cede94ea2db1d98ae8e3d1a9bff60e0368c889925f5	
S0032	race-conditions/02	external	https://portswigger.net/research/smashing-the-state-machine	PortSwigger Research -- Smashing the state machine: the true potential of web race conditions (James Kettle)	2023, entry #1 of the 2023 Top 10	2026-08-28	sha256:fc526555730fa671e6d347c7700934c7cc54dff2d3160dd497e3ff797a3534a0	
S0033	race-conditions/02	external	https://raw.githubusercontent.com/HackTricks-wiki/hacktricks/master/src/pentesting-web/race-condition.md	HackTricks -- Race Condition	HackTricks master branch, fetched 2026-08-28 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:fe693c6265d0d0959f34dd7e5be5cab91619a7f368e7a9b4ea017ac0e6d064b2	
S0034	race-conditions/02	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-BUSL-05 'Test Number of Times a Function Can Be Used Limits'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0035	race-conditions/02	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0036	race-conditions/03	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/Race Conditions & Timing Attacks/Race Conditions 1c92c37daa29804e8913f4c6836ac991.md	Race Conditions 1c92c37daa29804e8913f4c6836ac991.md		2026-08-28	sha256:697c4746a2c6e08230ab2cede94ea2db1d98ae8e3d1a9bff60e0368c889925f5	
S0037	race-conditions/03	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-BUSL-04 'Test for Process Timing'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0038	race-conditions/03	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0039	race-conditions/04	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/Race Conditions & Timing Attacks/Race Conditions 1c92c37daa29804e8913f4c6836ac991.md	Race Conditions 1c92c37daa29804e8913f4c6836ac991.md		2026-08-28	sha256:697c4746a2c6e08230ab2cede94ea2db1d98ae8e3d1a9bff60e0368c889925f5	
S0040	race-conditions/04	external	https://raw.githubusercontent.com/HackTricks-wiki/hacktricks/master/src/pentesting-web/race-condition.md	HackTricks -- Race Condition, the single-packet and HTTP/3 last-frame forms (citing PortSwigger 'Smashing the state machine', H3SpaceX and CyberArk QuicDraw)	HackTricks master branch, fetched 2026-08-28 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:fe693c6265d0d0959f34dd7e5be5cab91619a7f368e7a9b4ea017ac0e6d064b2	
S0041	race-conditions/04	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0042	ssrf-url-routing/01	local	~/Downloads/Pentest Docs/Infrastructure/Infrastructure Attacks/Kubernetes 2472c37daa2980f18e7ec94765941ad8.md	Kubernetes 2472c37daa2980f18e7ec94765941ad8.md		2026-08-28	sha256:520f9cb14a3eaa3e2c8528856398affe586605febcff612c27f4db25a968caf0	
S0043	ssrf-url-routing/01	local	~/Downloads/Personal-Knowledge-Base/Web checklist/Server Side Request Forgery (SSRF).md	Server Side Request Forgery (SSRF).md		2026-08-28	sha256:ab0a0ad0a5152dcd56dcd39b3d60a967e9bd6ecf31616004eab545aa5833ba3f	
S0044	ssrf-url-routing/01	external	https://attack.mitre.org/techniques/T1552/	MITRE ATT&CK T1552 -- Unsecured Credentials, sub-technique .005 Cloud Instance Metadata API	T1552 v1.5, created 04 February 2020, last modified 24 October 2025; fetched 2026-08-28	2026-08-28	sha256:b2a3fef2eb0949102b8d8ed9ecf0af8c64d89deb03df1dde9b47bb36bcead95e	
S0045	ssrf-url-routing/01	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-INPV-19 'Testing for Server-Side Request Forgery'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0046	ssrf-url-routing/01	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0047	ssrf-url-routing/02	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/SSRF 4c0e04af7ddc48688654868232ff0cef.md	SSRF 4c0e04af7ddc48688654868232ff0cef.md		2026-08-28	sha256:10b2fcb3d77ec2eb29844d2cccda2c25ebcefbd172c290d6f9f0918f623152eb	
S0048	ssrf-url-routing/02	local	~/Downloads/Personal-Knowledge-Base/3. Completed/Server-Side Attacks/SSRF.md	SSRF.md		2026-08-28	sha256:0f3e5d5f48fc7b8a89f77b3a437040968e1b8b5fe012fdef262ca20c0acab646	
S0049	ssrf-url-routing/02	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/DNS Rebinding/SSRF Basic Filter Bypasses 27f2c37daa2980a9b221c453819a5a98.md	SSRF Basic Filter Bypasses 27f2c37daa2980a9b221c453819a5a98.md		2026-08-28	sha256:c444a1baf8e8e4c10391d610635e0df0d03f7f9ae600ee9970c35ce1045e5ffa	
S0050	ssrf-url-routing/02	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0051	ssrf-url-routing/03	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/DNS Rebinding/DNS Rebinding SSRF Filter Bypass 27f2c37daa2980d093eacf3f68270ac1.md	DNS Rebinding SSRF Filter Bypass 27f2c37daa2980d093eacf3f68270ac1.md		2026-08-28	sha256:66930eaadcce1c9efdbe2a94c7bb1b18d32dc30840d1e4feaddfe1ea059dafd8	
S0052	ssrf-url-routing/03	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/DNS Rebinding/SSRF Basic Filter Bypasses 27f2c37daa2980a9b221c453819a5a98.md	SSRF Basic Filter Bypasses 27f2c37daa2980a9b221c453819a5a98.md		2026-08-28	sha256:c444a1baf8e8e4c10391d610635e0df0d03f7f9ae600ee9970c35ce1045e5ffa	
S0053	ssrf-url-routing/03	external	https://raw.githubusercontent.com/HackTricks-wiki/hacktricks/master/src/pentesting-web/ssrf-server-side-request-forgery/url-format-bypass.md	HackTricks -- SSRF URL format bypass, DNS rebinding (citing Tenable's BentoML SSRF patch bypass CVE-2025-54381 and NCC Group's Singularity)	HackTricks master branch, fetched 2026-08-28 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:9bad642cb545da806a22741d927740448d5873d3b5839f0a13cf63b6d3b836c4	
S0054	ssrf-url-routing/03	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0055	ssrf-url-routing/04	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/SSRF 4c0e04af7ddc48688654868232ff0cef.md	SSRF 4c0e04af7ddc48688654868232ff0cef.md		2026-08-28	sha256:10b2fcb3d77ec2eb29844d2cccda2c25ebcefbd172c290d6f9f0918f623152eb	
S0056	ssrf-url-routing/04	local	~/Downloads/Personal-Knowledge-Base/3. Completed/Server-Side Attacks/SSRF.md	SSRF.md		2026-08-28	sha256:0f3e5d5f48fc7b8a89f77b3a437040968e1b8b5fe012fdef262ca20c0acab646	
S0057	ssrf-url-routing/04	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0058	ssrf-url-routing/05	external	https://slcyber.io/research-center/novel-ssrf-technique-involving-http-redirect-loops/	Searchlight Cyber -- Novel SSRF technique involving HTTP redirect loops (Shubham Shah)	2025-06-23	2026-08-28	sha256:9dc1301336cd90076151ed3ddf0bc9509534cc39a72de755eaf0c3ce33396040	
S0059	ssrf-url-routing/05	external	https://raw.githubusercontent.com/HackTricks-wiki/hacktricks/master/src/pentesting-web/ssrf-server-side-request-forgery/README.md	HackTricks -- SSRF, blind status leak through a forced redirect chain (citing Assetnote / Searchlight Cyber)	HackTricks master branch, fetched 2026-08-28 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:ea91681753460a88e1ef7a0ceb1e401ae5648186ac07dc3dcf9671ed7f2c2c43	
S0060	ssrf-url-routing/05	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0061	ssrf-url-routing/06	local	~/Downloads/Personal-Knowledge-Base/Web checklist/Server Side Request Forgery (SSRF).md	Server Side Request Forgery (SSRF).md		2026-08-28	sha256:ab0a0ad0a5152dcd56dcd39b3d60a967e9bd6ecf31616004eab545aa5833ba3f	
S0062	ssrf-url-routing/06	local	~/Downloads/Personal-Knowledge-Base/3. Completed/Web service & API attacks/API Attacks/5_SSRF.md	5_SSRF.md		2026-08-28	sha256:9d685b77467879eb608501fe229a9aabedd5677771ccbc24c70cffe348794211	
S0063	ssrf-url-routing/06	external	https://labs.watchtowr.com/soapwn-pwning-net-framework-applications-through-http-client-proxies-and-wsdl/	watchTowr Labs -- SOAPWN: pwning .NET Framework applications through HTTP client proxies and WSDL (Piotr Bazydlo)	2025-12-10 (CVE-2025-34392, CVE-2025-13659); carried from mining shard researchers.json:34, not re-fetched at ledger time	2026-08-28	sha256:f2f5c4ea5f7d04db3315c62a5cac88ab69eaf5e031dacb4de94d02ab570227b8	
S0064	ssrf-url-routing/06	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-INPV-19 'Testing for Server-Side Request Forgery'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0065	ssrf-url-routing/06	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0066	ssrf-url-routing/07	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/PDF Generators 1a52c37daa29803eaefdf45ad01ed2bc.md	PDF Generators 1a52c37daa29803eaefdf45ad01ed2bc.md		2026-08-28	sha256:95a95d411f3e886cee1d9de7791e6ea33186a73afa6725a6e40145f1bc2c52bc	
S0067	ssrf-url-routing/07	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0068	ssrf-url-routing/08	local	~/Downloads/Personal-Knowledge-Base/Web checklist/Server Side Request Forgery (SSRF).md	Server Side Request Forgery (SSRF).md		2026-08-28	sha256:ab0a0ad0a5152dcd56dcd39b3d60a967e9bd6ecf31616004eab545aa5833ba3f	
S0069	ssrf-url-routing/08	local	~/Downloads/Personal-Knowledge-Base/3. Completed/SSRF/SSRF.md	SSRF.md		2026-08-28	sha256:8a212e6512fc40b4bbd18d1e3ca84535283afca7ac040b2a948a4ad4fe4bd2dc	
S0070	ssrf-url-routing/08	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/Open Redirection d78d8ea8eab349c7a4e677715fbfa4fe.md	Open Redirection d78d8ea8eab349c7a4e677715fbfa4fe.md		2026-08-28	sha256:8634688fafd91a9db195fac32f5b0ae30dfe25d4869e2fa5705be5c7949b24d8	
S0071	ssrf-url-routing/08	external	https://raw.githubusercontent.com/HackTricks-wiki/hacktricks/master/src/pentesting-web/ssrf-server-side-request-forgery/url-format-bypass.md	HackTricks -- SSRF URL format bypass, the redirect-from-an-allowed-host case	HackTricks master branch, fetched 2026-08-28 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:9bad642cb545da806a22741d927740448d5873d3b5839f0a13cf63b6d3b836c4	
S0072	ssrf-url-routing/08	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0073	ssrf-url-routing/09	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/HTTP Attacks/Host-Header 3f75f9901e664dafa21815eb0aceb8ee.md	Host-Header 3f75f9901e664dafa21815eb0aceb8ee.md		2026-08-28	sha256:7188c6781e9f44dc5114b9beb6fd4c757f620dbf70edb2e99a846b2154b25a10	
