source	sha256	disposition	replacement	verification	rationale
.claude/skills/cms	48f93b4d9558e9ea1210f2d778139fbe2bf84bd73c6d753a030df21c37d453b8	absorbed	property_class:information_disclosure.artifact_exposure	tests/test_database.py	a routing Skill: a known platform is found by reaching files it was not meant to publish
.claude/skills/code-audit-loop	b7d5d06a0e4e708ffb626eafd60c56a3558b98b93153d28d6298aa938dc9358e	superseded	control:execution	tests/test_execution.py	a workflow Skill: the loop is the scheduler claiming ready Tasks, which no instruction may drive
.claude/skills/code-recon	71d2ae5ccaa11df449155df635a1a68ef416d65a0121b2389028026567cca2a3	rewritten	skill:analyse-source	tests/test_skill.py	a capability Skill that survives: source reconnaissance is the JS analyst's bounded instruction
.claude/skills/config-iac	5fbbdffc78cae34dbd0c0f9ef5238ea1278a7096177c9e988952f1453a09a4cf	absorbed	property_class:information_disclosure.artifact_exposure	tests/test_database.py	a routing Skill: exposed configuration and infrastructure files are the same leaf, reached by a different path
.claude/skills/deserialization	2dca8faf5a19d922df627f93316b0c00d6559c06c000acf5af6728b1876f003e	absorbed	property_class:injection.document_parser	tests/test_database.py	a routing Skill: the leaf it selected for is input reaching a structured parser or object graph
.claude/skills/draft-bug-bounty-submission	16bd799149b7610deabf82589e17bf9f234a6b9cfd3a9b26f7dafaceecb60f54	superseded	control:reporting	tests/test_reporting.py	the submission is a projection of Findings that hold, so no Skill drafts prose the database cannot back
.claude/skills/families	6c011ddf792bed11f12d52cab16fdc7a6ac432a4198a51a6148c196c748e5467	absorbed	vocabulary:property_class_families	tests/test_database.py	a routing Skill that was the taxonomy itself; the eight families are reference data every Program shares
.claude/skills/http-protocol	8b12083fa835b7eba2b70b445af3b9995c9800d7b41c491abb80f47d7d67c28b	absorbed	property_class:transport.request_framing	tests/test_database.py	a routing Skill: framing disagreement between hops is the leaf the transport family added for it
.claude/skills/injection	b6ee3377d6c7f7968927453faf710dbf3623ff96501fd0426f1d08aba4798a38	absorbed	property_class:injection	tests/test_database.py	a routing Skill: the family is split by interpreter now, because the interpreter is what the test is
.claude/skills/mobile-android	06a075e03450c7f22a289a4c75536b072b07b194c4d20dbbbe5bc3164da182be	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device traffic this Skill assumes does not go through the door
.claude/skills/mobile-device-guard	52a85acceae0fd4bcc1ca488b57bde58674ab798ca81c656638bbaa482f41869	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: a device guard has nothing to guard while no Program can name a device
.claude/skills/scope-guard	0f18d6e831ab7a10b6a67b1e274bf92f057c24a26472030c61d66d6fd1bcbf00	superseded	control:scope	tests/test_scope.py	scope is a compiled policy every target-facing operation asks, not an instruction a model is trusted to follow
.claude/skills/secrets-crypto	34df2a5a16546c23d5bcf607dcdebb870ca25c8e30149042041545f786cff0eb	absorbed	property_class:information_disclosure.artifact_exposure	tests/test_database.py	a routing Skill: a leaked key is reached the same way any unpublished artifact is
.claude/skills/severity-calibration	78772bed99fb2774912b2a755fcceec2bfef04bd0f4c65de82fb4a88d973d43a	superseded	control:reporting	tests/test_reporting.py	severity is a stored vector with an origin, rendered by the report rather than argued by a Skill
.claude/skills/ssrf-xxe-file	e5aae349921d5b0c64d41bb49038d662213dc5aa4e06fdde6fd86957e113ffc9	absorbed	property_class:injection.request_forgery	tests/test_database.py	a routing Skill: the leaf it selected for is input controlling a request the server itself makes
.claude/skills/supply-chain	bc8de9b3da0e1177a92ceca3f7bbd636eef3bfedc960649dd2dd4626ccd53eba	absorbed	property_class:injection	tests/test_database.py	a routing Skill: a dependency is attacker-controlled input reaching a fetcher, which is the injection family
.claude/skills/tool-preflight	c2108c90ceb9fe5dad032788cc48b92ec16665f3b7623b7eb0fd9d9722dd55f6	superseded	control:tool	tests/test_cli.py	a tool runs from a registry through one runner, so there is nothing left for a preflight instruction to check
.claude/skills/untrusted-content	93870b698cff862157f1eabd9af588a476e0a155c5b150ffb95e33638c54c822	rewritten	skill:handle-untrusted-content	tests/test_skill.py	a capability Skill that survives: handling untrusted text is a rule every role needs
.claude/skills/web-full-pentest	79dd4ab782e2dfa84eba26101c162786edb6be81dc882e4d463c0ae762501527	superseded	control:execution	tests/test_execution.py	a workflow Skill: campaign shape is ranking and dispatch, which the runtime owns
.claude/skills/web-pentest-loop	d1f4fa8a3f18ac64578d77aa475d29b9d65f4f9c59b5ff37b0a17a7e79816eaf	superseded	control:execution	tests/test_execution.py	a workflow Skill: the hunt loop is one Task run to one canonical Observation, repeated by the scheduler
.claude/skills/web-recon	a86a1d5a3dbe2d18e1b0d1f407064c9b73c15f308ecab199b1812cffb594c0cc	rewritten	skill:enumerate-surface	tests/test_skill.py	a capability Skill that survives: surface enumeration is the recon role's bounded instruction
.claude/skills/web-reporting	aca23dcff5f40ddd1e3ccfbf86565f83f62038d5c083fc7216ceb1ecdbde8fc6	superseded	control:reporting	tests/test_reporting.py	the report is a projection of what holds, which is a runtime control and not a writing style
playbooks/SCHEMA.md	2caab15d0dfd03e473414979c66f22c3566082fb7b1def3ae4bcea0175e7220b	superseded	control:playbook	tests/test_playbook.py	the corpus format is compiled and refused on drift, so a document describing it can no longer disagree with it
playbooks/agentic-ai/README.md	190eeffbf004009d18c1bc59161b02fe27a514d801e840edfad6118394019abe	rewritten	playbook:agentic-ai	tests/test_playbook.py	a general API or realtime surface topic, authored as a production Playbook with fixtures and an evaluation
playbooks/agentic-ai/llm.md	382c1306331dcd3283c4352de545088cca18a8af507ab27ef80a11ebf42c3e2e	absorbed	reference:playbooks/agentic-ai/references/llm.md	tests/test_playbook.py	reference material for agentic-ai, attached to that one Playbook rather than loaded for every Agent
playbooks/android-broadcasts/README.md	0f3bb4716e6c23b62aefdf180c67fd7064eaa52426fce300d8870c8c144644f4	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-broadcasts/receiver-registration-and-export-rules.md	f7cb7365c0408fa9d163fb2caf06db226176d2c93eb17f86a2a7358df249b649	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-broadcasts/sending-and-intercepting-broadcasts.md	f4600c6e6feec0a60fd1b4e6c17b1dd6b78dc9d4ce2544911df41c97ad1239cb	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-broadcasts/widgets-notifications-and-system-triggers.md	56a59ef3922565be1aeabe8c08669e95bac2682b2a7e71ecfc9aaace1d6fd84a	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-instrumentation/README.md	81a931a863d9028ecf405e51d697b21eb0574467f78347ab6a28b8c7f2ce8d0d	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-instrumentation/android-frida-hooks.md	f9baf1a9f3189b1f9cbcd8f6d84b97b38a74287820df5d944b766fe2cf47a9f0	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-instrumentation/android-frida-toolchain.md	9bed60c8d46de11e618d5b5de6f6a3b4e82d5440c02066fde38eb3d5c91f3fd7	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-instrumentation/android-frida-trace-native.md	1f6525701ee5aece8a40bae4eb6f275560d5964ed682ece54578cc22e84c9bd7	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-instrumentation/android-tls-pinning-matrix.md	f6e4bc9c7340232719d06be9470f63322f899b363c55da29a4a5a7aeff32cba9	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-intents/README.md	d4b9a3cfe8178f00d92f74e1afa4fe229a0114f3dd24d793b5f04c4281422dff	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-intents/browser-to-app-intent-scheme.md	1c281b7bb4bebf7e81fdf40dfd0e8f7298edea394dc0cc97fc41fdaf0f46c238	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-intents/deep-links-and-app-links.md	ed9674fca2a6baa0fdb56a85fb5e601b634a576af9b30eb64cbf626ad33813ad	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-intents/driving-intents-with-am-and-an-attacker-app.md	df8d1e15cd0fb656c75c3d899f39e66d0263ee9d283a2f967deb231ec02d5f9b	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-intents/intent-redirection-and-pending-intents.md	78f33218749781605a672a0ec2ce4d19611a29adf1cfb04189ef1244ad6896f5	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-lab/README.md	0d1917d64d3fe3c7f94057464e652bff0a2887f01f3588caef99ded1d949d93a	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-lab/adb-and-device-control.md	413fb62c6f4210daab6b30da96532712184ec10177f564aee89ee9860b2c74f9	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-lab/attacker-app-harness.md	7664b24b67099b823cfd424a3270a373d83c856e18efd22ce2885ef51a379db0	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-lab/device-selection-and-visibility.md	5c7749d0c2c2f21d0c3749658d18f14798fe71874c04b781fc1081f2bf184113	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-lab/logcat-and-runtime-evidence.md	480264dcaa4e9940b30e5e2d92c7f3e634ff7d4f82ec71abc70fb7dadd57fafd	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-network/README.md	0c46a5c467d5c0e7f785ef150b353c2b46988e640f9131b233723000142538d1	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-network/ca-install-and-android-14-store.md	c6cca778450228225ada0d6001008f8d8a5ec9cfcfeca7dbc373ae39c9eb77db	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-network/mock-and-replay-environment.md	3163481fede04007e3ce1ed55d7fde3ffbdc3c6230da0ca17ebd4346746d65c3	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-network/network-security-config-patching.md	97ccdb111571e9709adb94c0e5d7a6f95b61a8c4ddaf3ad98049490f57139ed0	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-network/pcap-and-non-http-capture.md	c7ed5ec50622942716d5bc1f4b58d77362139e100b055889ed39bf65026127ba	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-network/vpn-and-transparent-interception.md	31c115f9c84a1cbd826314ba0c619b9d91c32f4f3df74fdb3ad42c6a80667149	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-providers/README.md	4ad9a84320668a88eebf75605e938640e058cbbfa9b48e3fa0a0ed72f67107e2	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-providers/fileprovider-traversal-and-write.md	098875216f310364d9241d2ee4028100206c3990e0333ad0ba037b461b621d51	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-providers/provider-enumeration-and-uri-grants.md	a23eb1f9ede1e27f753541cf19a3399401b55eeae157e95fac81f3c22fec8ac3	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-providers/provider-sql-injection.md	24d074849088e653fcce87815f62cb5551bbb21ff7d8a69f5a060055583d0d79	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-providers/sqlite-provider-reversing.md	a670ca7e7e39b4714db0fb542a4b5cbe5bb5b3c94663e2b4e3a0b3914b3295df	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-reversing/README.md	8819491ae16be392a84c148d0d2624c630be07d507088927e36674b12f7e7965	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-reversing/apk-acquisition-and-structure.md	1370a7364315fcf41ff67b1d3e7d6f9f64b6804db3c735f46dcc29701ada43ac	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-reversing/apktool-patch-repack-sign.md	4978b1b7e5ba9a1c817399cb686ddc4cdfabadd25b695cb3b2feee9f0f1d25ab	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-reversing/jadx-and-smali-workflow.md	094898ec5208e9aa032b53b464a37d7335799565fae5dd309f800de5270d8c14	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-reversing/native-obfuscation-and-diffing.md	33ff05fe38bc768d19d66a7293e2d461599f6904ac88dcd0bd88ad6f34c6faf7	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-services/README.md	466f1cff29ca139f9ce382f8e6784aecf288e022d7c1e605382e0d234ad6ac33	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-services/aidl-recovery-and-binding.md	512f6029a72065ad5d175d0a53465e0ee156616ec5210a60bbe09cde12122685	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-services/messenger-and-handler-services.md	ed85252078dd5f272caf178ed846708c6da36e3b79fc3aeb1561c383c5d38ff3	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-services/service-enumeration-and-start.md	dc537de7cc80b87a6e6fcf3d647797b3cf4ee1d97a162719eb61afdec2ffd12f	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-storage-secrets/README.md	ba76ded8a8bf636ca09c7444b302a90aa7d87295d4995bc38c73ee8b1f66c683	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-storage-secrets/android-app-data-stores.md	c6989dcd50551163ce0ed8e262f1a11a3ce10f9b13fc26130c6bbae36ffd851b	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-storage-secrets/android-backup-log-exposure.md	947453bbf8651f7d9c9ac705b7a974c3fc9a790b924b576895420a0e61014562	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-storage-secrets/android-keystore-tokens.md	3bbbd887c8c1796f30ebbd8941761b2799bb3f07914342f72840fb8459586d74	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-storage-secrets/android-static-secrets.md	34b1d149402110ef6449b789319e58fa3c14c5f1ff99b53077ce2389c758925f	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-webview/README.md	ef5ba02ed0bb357f3d8f04459119878d11e713d7802a3956ff2e5d33653db911	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the device surface this topic works on is unreachable through the door
playbooks/android-webview/deeplink-origin-control.md	3d3364edbcf5d30dd967c6efb13b8cb7e0b5e48ac0a942b6227f31584fc89f84	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-webview/javascript-bridge-audit.md	bc3852acfadf912f724042a4fffa337950d8423f117659f3dfde781d45433185	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-webview/webview-inventory-and-settings.md	1dce4c72389ac48f5a4f382042ea48e58f211fb5a2c5a6b992fe2be35738b762	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/android-webview/webview-origin-and-file-access.md	bd00372953e5e4a2b07d18cc4cfb0572d075cfb77a14382cded63817a20fdf29	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: the topic this reference belongs to is retired with it
playbooks/api-authorization/README.md	ee9c45c84d6cb649100039da88f2ab521aaa05eb951b7313f439df782698f8f7	rewritten	playbook:api-authorization	tests/test_playbook.py	an authorization or business-logic topic, authored as a production Playbook with fixtures and an evaluation
playbooks/api-authorization/idor.md	2625905befad57f35a9076bb0e43742f0e4d911569f246657a7eed262351e465	absorbed	reference:playbooks/api-authorization/references/idor.md	tests/test_playbook.py	reference material for api-authorization, attached to that one Playbook rather than loaded for every Agent
playbooks/api-authorization/uuids.md	8a02d23c47a1235cdae1835b81d88904f4996bec707e26bfdbf460e3ac1d12f3	absorbed	reference:playbooks/api-authorization/references/uuids.md	tests/test_playbook.py	reference material for api-authorization, attached to that one Playbook rather than loaded for every Agent
playbooks/api/README.md	e9b9940437c07b1ba4ab3d2db97c42b8a85126df787131d37907d48718943e45	rewritten	playbook:api	tests/test_playbook.py	a general API or realtime surface topic, authored as a production Playbook with fixtures and an evaluation
playbooks/api/api-soap.md	14c690d8bfa277c313e579187886f72141022fb4c8aa93952741702c80599997	absorbed	reference:playbooks/api/references/api-soap.md	tests/test_playbook.py	reference material for api, attached to that one Playbook rather than loaded for every Agent
playbooks/api/api.md	b6073a8eecc6074506fca32a4b291740d6b2b5ab4206eee5cc615ba6f0e05c0b	absorbed	reference:playbooks/api/references/api.md	tests/test_playbook.py	reference material for api, attached to that one Playbook rather than loaded for every Agent
playbooks/api/rate-limit-bypass.md	7353c8abaa853c2ec5768f669c71314020e2ecdb22c6bd8d46bda6101f5deb67	absorbed	reference:playbooks/api/references/rate-limit-bypass.md	tests/test_playbook.py	reference material for api, attached to that one Playbook rather than loaded for every Agent
playbooks/attack-surface/README.md	e7e0ad10def23134cb4b7b0d484d9d6fec364f4a509896db166805f31cd4f810	rewritten	playbook:attack-surface	tests/test_playbook.py	a general API or realtime surface topic, authored as a production Playbook with fixtures and an evaluation
playbooks/attack-surface/auto-scanners.md	9852161af3de88471eca8f2402f10d3d5dfed558a7352d4d341bc35e893fa67c	absorbed	reference:playbooks/attack-surface/references/auto-scanners.md	tests/test_playbook.py	reference material for attack-surface, attached to that one Playbook rather than loaded for every Agent
playbooks/attack-surface/cves.md	0ae43b0294dcd0718a62a480728b7b1fd95b6e88d73b3301acca3ad15e207199	absorbed	reference:playbooks/attack-surface/references/cves.md	tests/test_playbook.py	reference material for attack-surface, attached to that one Playbook rather than loaded for every Agent
playbooks/attack-surface/ffuf.md	28219794d58adb17e1779b402dd7271bba78f93f8511580db12a0355955558a7	absorbed	reference:playbooks/attack-surface/references/ffuf.md	tests/test_playbook.py	reference material for attack-surface, attached to that one Playbook rather than loaded for every Agent
playbooks/authentication/README.md	75ccd2be14696bb0f7ad3d9cf8a5662f97aacc6f5da62c89fe503aeae81229c7	rewritten	playbook:authentication	tests/test_playbook.py	an authentication or Identity topic, authored as a production Playbook with fixtures and an evaluation
playbooks/authentication/cloud-aws-cognito.md	123cfe75454fd0b8c9ee67ad2abae8fad91505a1b677a78b5e09cadf7c1304d6	absorbed	reference:playbooks/authentication/references/cloud-aws-cognito.md	tests/test_playbook.py	reference material for authentication, attached to that one Playbook rather than loaded for every Agent
playbooks/authentication/http-attacks-password-reset.md	a61ca0a35d976289579716b27751b5a3d6d44c1b9ff38868897ebfa54c8d4690	absorbed	reference:playbooks/authentication/references/http-attacks-password-reset.md	tests/test_playbook.py	reference material for authentication, attached to that one Playbook rather than loaded for every Agent
playbooks/authentication/sign-up-login-register.md	5ca9eab029aa5164b39aea0b41f274139ce19753b891e36edcf2db543ed13d2b	absorbed	reference:playbooks/authentication/references/sign-up-login-register.md	tests/test_playbook.py	reference material for authentication, attached to that one Playbook rather than loaded for every Agent
playbooks/authentication/type-juggling.md	13101a494e43615e3a67d1f2d19bfd0d5bf72499d0d15342c458d34b81ea7b2b	absorbed	reference:playbooks/authentication/references/type-juggling.md	tests/test_playbook.py	reference material for authentication, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-framing/README.md	31e3dff67632104aa9bd731d14474a1637c0359ad35cd2ebf14d7c8aec470bb6	rewritten	playbook:browser-framing	tests/test_playbook.py	a browser or client-side topic, authored as a production Playbook with fixtures and an evaluation
playbooks/browser-framing/clickjacking.md	cda003fcf94b18b0006aba860daa044ecfe736e4cb2bf00275ed15158a5ae43f	absorbed	reference:playbooks/browser-framing/references/clickjacking.md	tests/test_playbook.py	reference material for browser-framing, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-framing/cors-xssi.md	31da883758240d2e0e99a062f8aafa9572a0be9d85fb9f4facba8300222dcede	absorbed	reference:playbooks/browser-framing/references/cors-xssi.md	tests/test_playbook.py	reference material for browser-framing, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-messaging/README.md	50efafff6fe7b9c5d1ecfd550335c8a1d21b578733fd286972bccb2caa6223b9	rewritten	playbook:browser-messaging	tests/test_playbook.py	a browser or client-side topic, authored as a production Playbook with fixtures and an evaluation
playbooks/browser-messaging/dom-vulnerabilities.md	ccbaa2c70894c2153615a0009e2ef9f9359c53cb2fcb6c7881da1b3983d49e43	absorbed	reference:playbooks/browser-messaging/references/dom-vulnerabilities.md	tests/test_playbook.py	reference material for browser-messaging, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-messaging/prototype-pollution.md	ab79513c3ffa8b587450b11209e73844197effc5bdf54967f869a450a005d5cd	absorbed	reference:playbooks/browser-messaging/references/prototype-pollution.md	tests/test_playbook.py	reference material for browser-messaging, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-realtime/README.md	2a59bd60dd6381f5669beaf9ce37ba881b6b09da8e0a8e1df1bb8fa486fc0202	rewritten	playbook:browser-realtime	tests/test_playbook.py	a browser or client-side topic, authored as a production Playbook with fixtures and an evaluation
playbooks/browser-realtime/websocket-attacks.md	fd658577dfb166c64184fd1a91bf3a1e8e6bef615972f8c18645f952274b53e3	absorbed	reference:playbooks/browser-realtime/references/websocket-attacks.md	tests/test_playbook.py	reference material for browser-realtime, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-script/README.md	36782535a1f73f17e8989e77af10603c655ba0a17da98a9adbb61287fad0c5c2	rewritten	playbook:browser-script	tests/test_playbook.py	a browser or client-side topic, authored as a production Playbook with fixtures and an evaluation
playbooks/browser-script/dangling-markup.md	90924da38570be7a79b84421b543d554fc4c4252342262357f9609940ad4ab9e	absorbed	reference:playbooks/browser-script/references/dangling-markup.md	tests/test_playbook.py	reference material for browser-script, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-script/xss.md	532ce4b81953795a305d0723b1abb64a635d542d2f5272dca11e0e7e016faeeb	absorbed	reference:playbooks/browser-script/references/xss.md	tests/test_playbook.py	reference material for browser-script, attached to that one Playbook rather than loaded for every Agent
playbooks/browser-storage/README.md	8822db641830f43007637553d6b132084ced48619c29042764f1fea0b28c1a80	rewritten	playbook:browser-storage	tests/test_playbook.py	a browser or client-side topic, authored as a production Playbook with fixtures and an evaluation
playbooks/client-side-path-traversal/README.md	d1b5c276aa7a055242f333cb0ec3480ef2d0b1e1cbbfcd0b2239814d7a6ff5ed	rewritten	playbook:client-side-path-traversal	tests/test_playbook.py	a browser or client-side topic, authored as a production Playbook with fixtures and an evaluation
